"productId (S)","description (S)","imageTitle (S)","name (S)","price (N)","productType (S)","category (S)","imageSet (S)","imageSizes (S)"
"2389623e-000d-4fb5-af7a-82dd28beb227","Faribault brings you the Ashby Twill Scarf in Natural. Woven with a 'broken' twill technique, the Ashby Twill Scarf has a slight zigzag texture. Made in USA, this timeless scarf is crafted with luxurious merino wool and finished with heather gray fringe. 100% Merino wool","twill.jpg","Ashby Twill","70.99","Scarves","solid","images/twill-200w.jpg 200w, images/twill-400w.jpg 400w, images/twill-800w.jpg 800w, images/twill.jpg 1024w","(max-width: 400px) 200px, (max-width: 800px) 400px, (max-width: 1600px) 800px, (min-width: 1601px) 1024px"
"68aaa547-6bca-4fea-bc2f-81b1127ab2ff","Luxurious silk scarf with subtle paisley pattern. 100% silk","etro.png","Etro Paisley-Print Silk","249.99","Scarves","pattern","images/etro-200w.png 200w, images/etro.png 492w","(max-width: 400px) 200px, 492px"
"b5096dc8-7289-4832-8cfa-1c073fb0c61b","The Who What Wear Oversize Color-Block Square Scarf is big, bold, and designed to twist and wrap any way you wish. All the colors of the season are harmonized in this oversize accent, so you can adjust to contrast or match your outfit; soft and lush, it’s your stylish standoff against cold AC and unexpected fall breezes. 100% acrylic","multi-color.jpeg","Multi Color","22.99","Scarves",,"images/multi-color-200w.jpeg 200w, images/multi-color-400w.jpeg 400w, images/multi-color-800w.jpeg 800w, images/multi-color-1600w.jpeg 1600w, images/multi-color.jpeg 3000w","(max-width: 400px) 200px, (max-width: 800px) 400px, (max-width: 1600px) 800px, (max-width: 3200px) 1600px, (min-width: 3201px) 3000px"
"e4c9e88e-ebd4-4a2e-a56d-91389e6c0dbd","Generously sized, extra soft and featuring a dazzling fringe, this scarf is rendered in a versatile gray, black and white plaid. Expertly beat the cold with style. 100% acrylic.","fringed-plaid.jpeg","Fringed Plaid","18.99","Scarves","plaid","images/fringed-plaid-200w.jpeg 200w, images/fringed-plaid-400w.jpeg 400w, images/fringed-plaid-800w.jpeg 800w, images/fringed-plaid.jpeg 960w","(max-width: 400px) 200px, (max-width: 800px) 400px, (max-width: 1600px) 800px, (min-width: 1601px) 960px"
"79063092-bd04-4307-9621-1987413e275a","""A dip-dye effect adds color and dimension to a cozy infinity scarf featuring a soft, chunky knit. 100% acrylic.","ombre-infinity.jpg","Ombre Infinity","11.99","Scarves","solid","images/ombre-infinity-200w.jpg 200w, images/ombre-infinity-400w.jpg 400w, images/ombre-infinity.jpg 860w","(max-width: 400px) 200px, (max-width: 800px) 400px, 860px"
"2ee6e24b-7729-47aa-9729-2aefad7719c6""","Handmade by women in Agra, sales provide medical and educational support in this remote area of India. Crinkly 100% cotton.","northern-lights.jpg","Northern Lights","29.99","Scarves",,"images/northern-lights-200w.jpg 200w, images/northern-lights-400w.jpg 400w, images/northern-lights.jpg 600w","(max-width: 400px) 200px, (max-width: 800px) 400px, 600px"
"61df866f-46bb-48a7-800f-6694a05de1be","Made of 100% Wool, Village Hat Shop brings you the classically timeless Wool Fashion Beret in a wide assortment of colors. Sleek and simple, this seamless wool beret is topped with a small tonal tassel. Wear it tilted to either side of your head, centered or towards the back - the Wool Fashion Beret adds a touch of effortless French flair to your look!","wool-fashion-beret.jpg","Wool Fashion Beret","14.95","Hats","beret",,
"1ad755b0-770e-47db-8246-67aeea9271c2","""Show your team pride in relaxed comfort. The 47 Brand Los Angeles Dodgers MLB Rockford Mesh Baseball Cap features the team logo in raised embroidery on the two front panels and breathable, soft mesh on the remaining four panels. Finished with the team name embroidered on the back and a stretchy cotton elastic sweatband, the 47 Brand MLB Rockford Mesh Baseball Cap is bound to be your new favorite baseball cap!","la-dodgers-mesh.jpg","Los Angeles Dodgers MLB Rockford Mesh Fitted Baseball Cap","27.99","Hats","baseball",,
"d47d844f-4840-482f-8a57-9fa57e706d30","Ahoy matey! Go from ship to shore in style with the Goorin Brothers® Pier gloves! Fingerless gloves with ribbed cuffs. Brand logo hardware pin. 100% cotton. Imported.","goorin-brothers-pier.jpg","Goorin Brothers Pier","17.99","Gloves","fingerless",,
"05bb3795-d1f1-4049-9553-3777c1137f8d","Rock some retro stripes with the Seattle Mariners MLB Woodside Stripe Snapback Baseball Cap from 47 Brand! Classically designed with six-panel construction with sewn eyelets, top button, adjustable snapback and a sleek, flat brim - the 47 Brand Woodside Stripe Snapback Baseball Cap is an ode to a bygone MLB era. Prominently featuring raised embroidery of the Seattle Mariners MLB logo on the front and their MLB division logo on the side, this is a uniquely styled baseball cap sure to turn heads!","seattle-mariners-stripe.jpg","Seattle Mariners MLB Woodside Stripe Snapback Baseball Cap","29.99","Hats","baseball",,
